"","iteration","n","type","err"
"342",23,5000,"Huber_distr_dc",0.0235097074002218
"343",23,10000,"ols_global",0.0559773158075514
"344",23,10000,"Huber_global",0.0235715787624845
"345",23,10000,"Huber_distr_dc",0.0235319523478446
"346",24,500,"ols_global",0.0619935406943637
"347",24,500,"Huber_global",0.0190731212277935
"348",24,500,"Huber_distr_dc",0.0465105344152959
"349",24,1000,"ols_global",0.0599467290678792
"350",24,1000,"Huber_global",0.0255152744973742
"351",24,1000,"Huber_distr_dc",0.0251952020381858
"352",24,2500,"ols_global",0.0589117434791883
"353",24,2500,"Huber_global",0.0264055029069495
"354",24,2500,"Huber_distr_dc",0.0265722816888191
"355",24,5000,"ols_global",0.0686888012164034
"356",24,5000,"Huber_global",0.0265453368147517
"357",24,5000,"Huber_distr_dc",0.02653333393704
"358",24,10000,"ols_global",0.0672695888106753
"359",24,10000,"Huber_global",0.0202181199626652
"360",24,10000,"Huber_distr_dc",0.020235979959136
"361",25,500,"ols_global",0.0550344375610574
"362",25,500,"Huber_global",0.0253656397399729
"363",25,500,"Huber_distr_dc",0.0486531592169679
"364",25,1000,"ols_global",0.0600947329287581
"365",25,1000,"Huber_global",0.0258520589362329
"366",25,1000,"Huber_distr_dc",0.0266299358583446
"367",25,2500,"ols_global",0.0628487498187763
"368",25,2500,"Huber_global",0.0197636760139013
"369",25,2500,"Huber_distr_dc",0.019813484752219
"370",25,5000,"ols_global",0.0517543466117931
"371",25,5000,"Huber_global",0.0218009675089077
"372",25,5000,"Huber_distr_dc",0.0218048158567214
"373",25,10000,"ols_global",0.0545350274368979
"374",25,10000,"Huber_global",0.0234516549768117
"375",25,10000,"Huber_distr_dc",0.0234371675792292
"376",26,500,"ols_global",0.0581696771567454
"377",26,500,"Huber_global",0.0252390651979923
"378",26,500,"Huber_distr_dc",0.0491081241238345
"379",26,1000,"ols_global",0.0551064105241842
"380",26,1000,"Huber_global",0.0249537241908507
"381",26,1000,"Huber_distr_dc",0.0255229816572209
"382",26,2500,"ols_global",0.0542287527959687
"383",26,2500,"Huber_global",0.0256330703816358
"384",26,2500,"Huber_distr_dc",0.0255078497273307
"385",26,5000,"ols_global",0.0564380354391706
"386",26,5000,"Huber_global",0.024073444016253
"387",26,5000,"Huber_distr_dc",0.0240087146993437
"388",26,10000,"ols_global",0.0623017054610676
"389",26,10000,"Huber_global",0.0248299861505572
"390",26,10000,"Huber_distr_dc",0.0248131341602244
"391",27,500,"ols_global",0.0654342020017076
"392",27,500,"Huber_global",0.026395825559637
"393",27,500,"Huber_distr_dc",0.0467271221078451
"394",27,1000,"ols_global",0.0600447308325318
"395",27,1000,"Huber_global",0.0246874234911693
"396",27,1000,"Huber_distr_dc",0.0257048822066585
"397",27,2500,"ols_global",0.0665620493376747
"398",27,2500,"Huber_global",0.0262653562368084
"399",27,2500,"Huber_distr_dc",0.0261497371558534
"400",27,5000,"ols_global",0.0621117614167799
"401",27,5000,"Huber_global",0.0276488627704599
"402",27,5000,"Huber_distr_dc",0.0277338661778511
"403",27,10000,"ols_global",0.0570558642539388
"404",27,10000,"Huber_global",0.0271518036872911
"405",27,10000,"Huber_distr_dc",0.0270689465623488
"406",28,500,"ols_global",0.0626911396224432
"407",28,500,"Huber_global",0.0237400892198465
"408",28,500,"Huber_distr_dc",0.0408285504559851
"409",28,1000,"ols_global",0.0563866514092083
"410",28,1000,"Huber_global",0.0259208693392661
"411",28,1000,"Huber_distr_dc",0.0278906794919988
"412",28,2500,"ols_global",0.0598521276572017
"413",28,2500,"Huber_global",0.0238342312321531
"414",28,2500,"Huber_distr_dc",0.023853159903275
"415",28,5000,"ols_global",0.0632008220323725
"416",28,5000,"Huber_global",0.0246004988308114
