"","iteration","proportion","scale","type","err"
"184",4,0.04,10,"ols_global",0.619932080974026
"185",4,0.04,10,"Huber_global",0.0793186561783569
"186",4,0.04,10,"Huber_distr_dc",0.0801389012635816
"187",4,0.04,100,"ols_global",3.88872707695614
"188",4,0.04,100,"Huber_global",0.0671261247408712
"189",4,0.04,100,"Huber_distr_dc",0.0659702999618234
"190",4,0.06,1,"ols_global",0.181733323408317
"191",4,0.06,1,"Huber_global",0.0817416326803478
"192",4,0.06,1,"Huber_distr_dc",0.0817121648890951
"193",4,0.06,10,"ols_global",0.952710775413503
"194",4,0.06,10,"Huber_global",0.0920046468389721
"195",4,0.06,10,"Huber_distr_dc",0.0906032827206956
"196",4,0.06,100,"ols_global",5.80715567780239
"197",4,0.06,100,"Huber_global",0.0920328154105176
"198",4,0.06,100,"Huber_distr_dc",0.0891632888664203
"199",4,0.08,1,"ols_global",0.336754046877278
"200",4,0.08,1,"Huber_global",0.107011425100455
"201",4,0.08,1,"Huber_distr_dc",0.106494885962976
"202",4,0.08,10,"ols_global",0.747597115167798
"203",4,0.08,10,"Huber_global",0.115477748617648
"204",4,0.08,10,"Huber_distr_dc",0.116706984590696
"205",4,0.08,100,"ols_global",7.94918560186366
"206",4,0.08,100,"Huber_global",0.138306134732445
"207",4,0.08,100,"Huber_distr_dc",0.141703268157131
"208",4,0.1,1,"ols_global",1.69231188017978
"209",4,0.1,1,"Huber_global",0.134444763910334
"210",4,0.1,1,"Huber_distr_dc",0.134523976220863
"211",4,0.1,10,"ols_global",1.0165945442388
"212",4,0.1,10,"Huber_global",0.173503496124758
"213",4,0.1,10,"Huber_distr_dc",0.171294929138014
"214",4,0.1,100,"ols_global",10.1500959273212
"215",4,0.1,100,"Huber_global",0.173110669272984
"216",4,0.1,100,"Huber_distr_dc",0.177132110826595
"217",5,0,1,"ols_global",0.242678362126997
"218",5,0,1,"Huber_global",0.0322240298092458
"219",5,0,1,"Huber_distr_dc",0.032952047822693
"220",5,0,10,"ols_global",0.291569707539393
"221",5,0,10,"Huber_global",0.0315331185880812
"222",5,0,10,"Huber_distr_dc",0.0315528696541027
"223",5,0,100,"ols_global",0.238442825628329
"224",5,0,100,"Huber_global",0.0297871402600074
"225",5,0,100,"Huber_distr_dc",0.0295047565334484
"226",5,0.02,1,"ols_global",0.259196210985275
